edge_idx,src_node,tar_node,source_cell,target_cell,syn_sign,syn_strength_edge
521,5437,1051,Tm9,T5c,1,1.007664
522,8513,5922,Tm4,TmY14,1,2.561307
523,11406,5007,Mi4,Tm16,-1,1.752708
524,4592,7583,L3,Mi9,1,4.910607
525,4104,4214,C2,L5,-1,0.942952
526,13786,7882,T3,Tm3,1,1.027353
527,2708,5919,Mi13,Tm2,-1,4.314087
528,9596,7373,Mi4,T4b,-1,4.826181
529,9714,7359,L3,Tm9,1,0.100000
530,24,2381,TmY14,C3,-1,1.015440
531,8008,6736,L1,C3,-1,2.495428
532,4446,1799,L3,Mi1,1,4.058343
533,11367,3746,L5,Mi4,1,0.100000
534,7828,6528,Tm27,Mi10,1,0.100000
535,11206,2919,R1-6,Lai,-1,2.070256
536,5541,549,L4,Tm9,1,0.162562
537,12176,6478,R1-6,L1,-1,0.827813
538,9543,5512,Tm4,TmY5a,1,1.043523
539,9587,1238,Mi1,T4d,1,0.970326
540,9757,8671,Mi9,TmY3,-1,1.056226
541,11139,3586,Tm16,Tm1,1,0.280669
542,9569,13131,Tm20,Tm5f,1,1.024398
543,4830,2598,R1-6,L2,-1,1.814329
544,10694,2060,L2,Tm4,1,2.015044
545,4065,10356,Tm1,T5a,1,0.969360
546,1400,4083,Mi1,T4c,1,0.969630
547,4645,10556,Mi1,T2,1,1.040546
548,13754,8396,Tm1,Tm4,1,0.100000
549,8593,8748,TmY10,Mi4,1,0.151561
550,7006,5801,Lawf2,L5,1,0.100000
551,863,5015,R7,L1,-1,1.327271
552,924,7347,T3,TmY5a,1,0.977110
553,8188,8390,Tm1,TmY9q__perp,1,1.042581
554,639,3971,Tm4,TmY15,1,0.281011
555,1968,2997,C2,L5,-1,0.100000
556,12969,10768,Tm2,T5d,1,0.963365
557,9099,662,L3,Tm20,1,1.015422
558,4961,12149,L4,Tm4,1,0.173331
559,3671,5100,Lawf2,C2,1,7.009504
560,5826,9763,Mi1,L5,1,5.107074
561,263,13182,Mi10,Lawf1,1,4.555434
562,2692,11463,Mi13,Mi1,-1,0.100000
563,10020,11374,Mi9,TmY11,-1,0.980100
564,1715,10945,Tm3,TmY3,1,1.022831
565,10043,3960,Tm20,Tm5c,1,0.970146
566,5122,19,T2a,TmY5a,1,0.980130
567,858,6673,TmY10,Mi4,1,0.133742
568,12832,3031,R8,Mi4,-1,0.100000
569,10188,10030,Mi4,Tm5b,-1,1.018127
570,1467,12453,Tm2,L2,1,8.638537
571,11650,12503,R1-6,L2,-1,3.343501
